floor,garage,m2,price,rooms,target,zone,prob
4ª,0,170,650000,4,0,Dreta de l'Eixample,0.33
Casa,0,80,750000,2,0,Dreta de l'Eixample,0.108
1ª,0,85,850000,1,0,Dreta de l'Eixample,0.106
Atico,0,110,890000,3,0,Dreta de l'Eixample,0.208
3ª,0,95,349000,3,0,Dreta de l'Eixample,0.298
Atico,0,110,890000,3,0,Dreta de l'Eixample,0.208
Atico,0,81,735000,1,0,Dreta de l'Eixample,0.156
Bajo,0,90,750000,2,0,Dreta de l'Eixample,0.118
1ª,0,278,2450000,3,0,Dreta de l'Eixample,0.09
Casa,1,568,2600000,6,0,La Sagrada Família,0.298
Atico,0,120,890000,3,0,Dreta de l'Eixample,0.234
Atico,0,110,890000,3,0,Dreta de l'Eixample,0.208
4ª,0,79,440000,2,0,Nova Esquerra de l'Eixample,0.004
7ª,0,103,639000,3,0,Nova Esquerra de l'Eixample,0.01
5ª,0,45,200000,2,0,El Raval,0.308
3ª,0,47,130000,2,0,El Raval,0.494
3ª,0,171,1030000,3,0,El Gòtic,0.04
1ª,0,35,130000,2,0,El Raval,0.564
4ª,0,61,165000,2,0,El Raval,0.486
3ª,0,171,1030000,3,0,El Gòtic,0.04
3ª,0,135,935000,3,0,El Gòtic,0.098
2ª,0,40,125000,2,0,El Raval,0.56
1ª,0,46,185000,3,0,El Raval,0.286
4ª,0,68,225000,3,0,El Raval,0.514
2ª,0,37,125000,2,0,El Raval,0.514
1ª,0,190,1200000,8,0,El Gòtic,0.346
Entreplanta,0,50,139000,1,0,El Raval,0.704
2ª,0,130,620000,3,0,Sant Pere,0.022
1ª,0,130,610000,3,0,Sant Pere,0.182
1ª,0,202,950000,5,0,El Raval,0.258
1ª,0,130,600000,3,0,Sant Pere,0.21
1ª,0,202,950000,5,0,El Raval,0.258
1ª,0,38,210000,1,0,El Raval,0.208
Bajo,0,50,169000,1,0,La Barceloneta,0.758
3ª,0,171,1030000,3,0,El Gòtic,0.04
1ª,0,50,139000,1,0,El Raval,0.414
3ª,0,72,325000,2,0,Sant Pere,0.294
1ª,0,57,240000,1,0,El Raval,0.242
Casa,0,100,620000,2,0,El Gòtic,0.082
Casa,0,164,629000,2,0,El Gòtic,0.122
Casa,0,88,555000,2,0,El Gòtic,0.158
Casa,0,136,595000,4,0,Sant Pere,0.114
Casa,0,176,830000,4,0,El Raval,0.19
Casa,0,125,600000,1,0,Nou Barris,0.49
2ª,0,130,675000,3,0,El Gòtic,0.108
3ª,0,52,219000,3,0,El Raval,0.206
1ª,0,80,349000,2,0,El Gòtic,0.26
5ª,0,65,390000,3,0,El Raval,0.176
1ª,0,85,330000,4,0,El Raval,0.358
5ª,0,375,4000000,5,0,El Gòtic,0.196
