floor,garage,m2,price,rooms,target,zone,prob
4ª,0,87,295000,3,0,Sants,0.348
4ª,0,66,220000,1,0,Sants,0.042
6ª,0,141,480000,3,0,El Poble Sec,0.022
6ª,0,70,240000,3,0,El Poble Sec,0.382
3ª,0,76,170000,4,0,Sants,0.338
1ª,0,76,220000,3,0,El Poble Sec,0.616
2ª,0,91,348000,3,1,El Poble Sec,0.798
1ª,0,130,395000,4,0,El Poble Sec,0.244
1ª,0,75,265000,2,0,El Poble Sec,0.382
2ª,0,103,399000,3,0,El Poble Sec,0.328
5ª,0,56,239900,2,0,El Poble Sec,0.28
7ª,0,68,360000,3,1,El Poble Sec,0.852
Bajo,0,79,255000,3,1,Sants,0.828
3ª,0,70,299000,3,0,Sants,0.226
3ª,0,80,170000,3,0,El Poble Sec,0.43
1ª,0,52,372000,2,0,El Poble Sec,0.432
6ª,0,141,480000,3,0,El Poble Sec,0.022
2ª,0,65,220000,3,0,El Poble Sec,0.666
1ª,0,70,398000,1,0,El Poble Sec,0.652
2ª,0,73,385000,2,0,El Poble Sec,0.714
Atico,0,84,375000,3,0,Sants,0.532
5ª,0,154,495000,3,0,El Poble Sec,0.172
Bajo,0,129,490000,3,0,Sants,0.182
2ª,0,48,295000,1,1,Sants,0.794
4ª,0,74,367000,2,0,El Poble Sec,0.406
Atico,0,80,299000,4,0,Sants,0.442
4ª,1,145,712066,4,0,El Poblenou,0.232
6ª,1,115,790000,3,0,El Poblenou,0.062
7ª,0,126,744000,3,1,Camp de l'Arpa,1
2ª,1,138,490000,4,0,El Clot,0.354
3ª,0,196,835000,4,0,El Poblenou,0.152
4ª,1,130,760000,4,0,El Poblenou,0.162
2ª,1,60,550000,1,0,El Poblenou,0.132
2ª,0,63,230000,3,0,El Poblenou,0.204
3ª,0,66,260000,2,0,Camp de l'Arpa,1
2ª,0,100,205000,3,0,El Clot,0.348
3ª,1,80,280000,3,0,El Poblenou,0.332
2ª,1,93,425000,3,0,El Poblenou,0.202
2ª,0,68,265000,3,0,El Poblenou,0.444
Atico,1,150,2300000,4,0,Diagonal Mar,0.138
2ª,0,72,220000,3,0,Camp de l'Arpa,0.534
Entreplanta,0,68,220000,2,0,El Clot,0.48
1ª,1,370,495000,3,0,Camp de l'Arpa,0.224
1ª,1,370,495000,3,0,Camp de l'Arpa,0.224
5ª,0,80,305000,2,0,El Poblenou,0.524
3ª,0,106,395000,4,0,Sant Antoni,0.336
Casa,1,73,430000,2,0,Diagonal Mar,0.396
4ª,0,102,410000,4,0,El Poblenou,0.266
Atico,0,126,744000,3,0,Camp de l'Arpa,0.84
Atico,0,71,160000,3,0,El Poblenou,0.618
2ª,0,60,220000,2,0,El Poblenou,0.24
Atico,1,152,1590000,3,1,Diagonal Mar,0.742
2ª,0,91,319000,4,1,El Poblenou,0.818
3ª,0,62,325000,2,0,El Poblenou,0.274
5ª,0,88,295000,4,0,Camp de l'Arpa,0.496
6ª,0,65,329000,3,0,El Poblenou,0.226
Casa,0,138,550000,3,0,Diagonal Mar,0.154
2ª,0,90,345000,3,0,El Poblenou,0.412
2ª,0,60,170000,3,0,El Poblenou,0.556
Bajo,0,115,550000,3,0,Diagonal Mar,0.03
2ª,1,66,480000,2,0,Diagonal Mar,0.158
Bajo,1,115,550000,3,0,Diagonal Mar,0.08
Bajo,0,115,550000,3,0,Diagonal Mar,0.03
3ª,0,95,349000,3,0,El Poblenou,0.332
Casa,0,224,575000,2,0,El Poblenou,0.208
Casa,1,200,750000,4,0,Camp de l'Arpa,0.326
2ª,0,122,630000,3,0,Diagonal Mar,0.12
1ª,0,58,315000,1,0,El Poblenou,0.406
Casa,0,116,1275000,2,0,Diagonal Mar,0.066
5ª,0,128,770000,2,0,El Poblenou,0.082
7ª,1,103,928000,3,0,Diagonal Mar,0.424
Atico,0,202,1062000,5,0,El Poblenou,0.206
Atico,0,241,1843400,5,0,El Poblenou,0.102
2ª,0,138,573900,4,0,El Poblenou,0.134
6ª,0,118,500000,3,0,El Poblenou,0.336
Bajo,0,52,165375,1,0,Camp de l'Arpa,0.492
1ª,0,98,320000,4,0,Camp de l'Arpa,0.256
2ª,1,110,1350000,4,0,Diagonal Mar,0.136
Casa,1,111,375000,3,0,Camp de l'Arpa,0.306
Casa,1,80,315000,3,0,Camp de l'Arpa,0.616
5ª,0,73,250000,3,0,El Poblenou,0.352
Casa,0,115,550000,3,0,Diagonal Mar,0.088
3ª,0,96,300000,3,0,El Poblenou,0.392
3ª,1,109,449000,3,0,Camp de l'Arpa,0.382
6ª,1,101,479000,3,0,El Clot,0.17
4ª,0,60,98000,2,0,El Poblenou,0.422
Casa,0,438,690000,4,0,Sarrià,0.288
Casa,0,182,880000,4,0,Sant Gervasi,0.442
3ª,0,67,365000,2,0,Sant Gervasi,0.648
2ª,0,51,280000,1,0,El Putxet,0.428
5ª,1,123,590000,4,0,El Putxet,0.42
Bajo,0,60,525000,1,0,El Putxet,0.098
1ª,0,90,330000,2,0,El Putxet,0.06
Casa,0,95,600000,3,0,Sarrià,0.544
Casa,0,83,375000,2,0,El Putxet,0.276
3ª,0,179,975000,4,1,Sant Gervasi,0.87
6ª,0,94,440000,4,0,Sant Gervasi,0.848
1ª,1,225,1160000,5,0,Sant Gervasi,0.604
6ª,0,94,440000,4,0,El Putxet,0.384
1ª,0,277,1300000,5,0,El Putxet,0.192
1ª,0,90,330000,2,0,El Putxet,0.06
3ª,1,246,995000,4,0,El Putxet,0.182
3ª,0,111,560000,4,0,Sarrià,0.604
4ª,1,237,1270000,6,0,Sant Gervasi,0.128
3ª,0,165,950000,3,0,Sant Gervasi,0.676
5ª,0,72,560000,2,0,Sarrià,0.356
5ª,0,127,650000,2,0,Sant Gervasi,0.596
2ª,1,269,1450000,5,0,Sant Gervasi,0.1
1ª,0,200,850000,5,0,Sant Gervasi,0.436
4ª,1,165,1150000,4,0,Sant Gervasi,0.334
5ª,0,110,650000,2,0,Sant Gervasi,0.536
2ª,0,170,595000,3,0,Sant Gervasi,0.518
2ª,0,145,1375000,3,0,Sant Gervasi,0.024
3ª,0,145,1395000,3,0,Sant Gervasi,0.052
Casa,0,54,400000,2,0,Sant Gervasi,0.234
Casa,0,90,330000,2,0,El Putxet,0.33
Bajo,1,258,1790000,4,0,Sant Gervasi,0.048
Casa,0,149,984000,2,0,Sarrià,0.148
7ª,0,215,984000,2,0,Sarrià,0.26
4ª,0,214,984000,2,0,Sarrià,0.24
5ª,0,130,984000,1,0,Sarrià,0.188
2ª,1,150,1100000,3,0,El Putxet,0.266
Casa,0,188,450000,3,0,Sarrià,0.39
Casa,1,594,3900000,6,0,Sarrià,0.456
Casa,1,247,2300000,4,0,Sant Gervasi,0.004
4ª,0,85,984000,2,0,Sarrià,0.158
Bajo,0,181,1100000,3,0,Sant Gervasi,0.292
5ª,0,98,399000,4,1,Sarrià,0.778
Casa,0,134,1100000,2,0,El Putxet,0.124
6ª,0,124,545000,4,0,Sant Gervasi,0.636
3ª,0,165,990000,4,0,Sant Gervasi,0.45
5ª,1,209,970000,5,0,El Putxet,0.4
2ª,0,225,1240000,5,0,Sant Gervasi,0.09
Casa,0,82,425000,2,0,Sant Gervasi,0.318
5ª,0,98,450000,5,0,Sarrià,0.506
Bajo,1,225,1790000,4,0,Sant Gervasi,0.048
Casa,0,331,2145000,10,1,Sant Gervasi,0.72
Entreplanta,0,115,940000,3,0,Sant Gervasi,0.344
Entreplanta,0,80,685000,2,0,Sant Gervasi,0.348
1ª,0,132,870000,3,0,Sant Gervasi,0.998
1ª,0,83,609000,2,0,Sant Gervasi,0.84
Casa,1,609,2850000,5,0,Sant Gervasi,0.076
6ª,0,105,540000,3,1,Sant Gervasi,0.888
5ª,1,291,1490000,5,0,Sant Gervasi,0.262
1ª,0,280,1075000,5,0,Sant Gervasi,0.35
1ª,0,248,1680000,5,0,Dreta de l'Eixample,0.258
5ª,0,500,1680000,3,0,El Fort Pienc,0.238
2ª,0,267,1680000,4,0,Dreta de l'Eixample,0.248
1ª,0,379,1650000,7,0,Sant Antoni,0.412
4ª,0,180,1650000,3,0,Dreta de l'Eixample,0.234
4ª,0,191,1650000,3,0,Dreta de l'Eixample,0.196
4ª,0,191,1650000,3,0,Dreta de l'Eixample,0.196
4ª,0,298,1650000,9,0,Antiga Esquerra de l'Eixample,0.43
5ª,0,79,1650000,2,0,Sant Pere,0.186
4ª,0,189,1650000,3,0,Dreta de l'Eixample,0.208
4ª,0,180,1650000,3,0,Dreta de l'Eixample,0.234
4ª,0,190,1650000,3,0,Dreta de l'Eixample,0.2
4ª,0,312,1650000,3,0,Antiga Esquerra de l'Eixample,0.234
5ª,0,191,1650000,3,0,Dreta de l'Eixample,0.426
1ª,0,246,1640000,4,0,Dreta de l'Eixample,0.276
3ª,0,193,1640000,3,0,Dreta de l'Eixample,0.258
4ª,0,178,1640000,3,0,Dreta de l'Eixample,0.244
1ª,0,164,1625000,5,0,Dreta de l'Eixample,0.246
2ª,0,205,1600000,3,0,Dreta de l'Eixample,0.43
2ª,0,275,1600000,3,0,Antiga Esquerra de l'Eixample,0.154
3ª,0,220,1600000,6,0,Dreta de l'Eixample,0.274
Atico,0,150,1600000,5,0,Nova Esquerra de l'Eixample,0.294
3ª,0,200,1600000,6,0,Dreta de l'Eixample,0.366
1ª,0,230,1600000,3,0,Antiga Esquerra de l'Eixample,0.214
Casa,0,271,1595000,3,0,Dreta de l'Eixample,0.076
1ª,0,166,1590000,4,0,Dreta de l'Eixample,0.318
Entreplanta,0,164,1590000,4,0,Dreta de l'Eixample,0.272
1ª,0,135,1590000,3,0,Dreta de l'Eixample,0.224
4ª,0,270,1590000,4,0,Dreta de l'Eixample,0.11
3ª,0,71,257000,4,0,La Sagrada Família,0.514
4ª,0,77,257000,4,0,La Sagrada Família,0.432
Entreplanta,0,53,259000,2,0,Dreta de l'Eixample,0.25
Atico,0,36,259000,2,0,Nova Esquerra de l'Eixample,0.322
Atico,0,41,259000,2,0,Nova Esquerra de l'Eixample,0.338
Atico,0,36,259000,2,0,Nova Esquerra de l'Eixample,0.322
2ª,0,54,259000,2,0,Nova Esquerra de l'Eixample,0.412
Casa,0,36,259000,2,0,Nova Esquerra de l'Eixample,0.366
2ª,0,50,260000,2,0,Sant Antoni,0.348
4ª,0,59,260000,3,0,Nova Esquerra de l'Eixample,0.382
Bajo,0,80,260000,2,0,La Sagrada Família,0.574
4ª,0,65,260000,3,0,Nova Esquerra de l'Eixample,0.406
6ª,0,70,260000,3,0,El Fort Pienc,0.472
3ª,0,66,260000,2,1,La Sagrada Família,0.852
1ª,0,45,260000,1,0,La Sagrada Família,0.738
3ª,0,68,260000,3,0,La Sagrada Família,0.544
6ª,0,44,260000,1,0,Sant Antoni,0.476
4ª,0,76,260000,3,0,Sant Antoni,0.462
4ª,0,50,262000,2,1,Nova Esquerra de l'Eixample,0.744
1ª,0,68,265000,3,0,La Sagrada Família,0.498
2ª,0,65,265000,2,0,Dreta de l'Eixample,0.4
Bajo,0,67,265000,3,0,El Fort Pienc,0.586
2ª,0,70,265000,3,0,Sant Antoni,0.344
6ª,0,62,265000,3,0,Nova Esquerra de l'Eixample,0.384
5ª,0,70,265000,3,0,Nova Esquerra de l'Eixample,0.302
1ª,0,75,265000,3,0,La Sagrada Família,0.534
5ª,0,73,265000,2,0,La Sagrada Família,0.498
6ª,0,70,319000,3,0,Nova Esquerra de l'Eixample,0.334
Atico,0,60,449000,3,0,Nova Esquerra de l'Eixample,0.326
5ª,0,74,312000,3,0,La Sagrada Família,0.452
4ª,0,74,298000,4,0,Nova Esquerra de l'Eixample,0.306
2ª,0,124,429000,3,0,La Sagrada Família,0.332
2ª,0,82,328000,4,0,Sant Antoni,0.49
2ª,0,101,370000,4,0,Sant Antoni,0.404
4ª,0,94,405000,3,0,Nova Esquerra de l'Eixample,0.392
4ª,0,74,367000,3,0,Sant Antoni,0.28
2ª,0,70,325000,3,0,Sant Antoni,0.52
1ª,0,124,565000,3,0,Nova Esquerra de l'Eixample,0.142
6ª,0,123,510000,4,0,El Fort Pienc,0.252
2ª,0,97,385000,3,0,Nova Esquerra de l'Eixample,0.32
1ª,0,97,455000,4,0,Nova Esquerra de l'Eixample,0.176
5ª,0,200,1490000,3,0,Dreta de l'Eixample,0.63
Entreplanta,0,90,397000,4,0,Dreta de l'Eixample,0.494
4ª,0,98,399700,4,0,Nova Esquerra de l'Eixample,0.626
4ª,0,86,335000,3,0,Sant Antoni,0.768
1ª,0,133,409000,4,0,El Fort Pienc,0.398
4ª,0,90,430000,4,0,Nova Esquerra de l'Eixample,0.418
3ª,0,147,597000,5,0,Nova Esquerra de l'Eixample,0.238
1ª,0,127,425000,5,0,Nova Esquerra de l'Eixample,0.318
4ª,0,85,330000,3,0,Nova Esquerra de l'Eixample,0.366
Bajo,1,170,675000,3,0,Nova Esquerra de l'Eixample,0.348
1ª,0,124,398000,4,1,Nova Esquerra de l'Eixample,0.752
2ª,0,186,885000,4,0,Dreta de l'Eixample,0.452
6ª,0,126,590000,4,0,Dreta de l'Eixample,0.226
Casa,0,104,629000,3,0,Nova Esquerra de l'Eixample,0.028
5ª,0,206,1490000,5,0,Dreta de l'Eixample,0.424
Atico,0,80,515800,2,0,Nova Esquerra de l'Eixample,0.108
1ª,1,88,465000,2,0,Nova Esquerra de l'Eixample,0.132
3ª,0,140,599000,5,0,Nova Esquerra de l'Eixample,0.214
5ª,0,144,660000,3,0,Antiga Esquerra de l'Eixample,0.256
Casa,0,82,409000,2,0,Nova Esquerra de l'Eixample,0.262
Casa,0,103,629000,3,0,Nova Esquerra de l'Eixample,0.028
Casa,0,243,1250000,5,0,Dreta de l'Eixample,0.108
Casa,0,188,1349000,4,0,Dreta de l'Eixample,0.126
Casa,0,90,624000,3,0,Nova Esquerra de l'Eixample,0.03
Casa,0,94,629000,3,0,Nova Esquerra de l'Eixample,0.018
2ª,0,105,586300,3,0,Nova Esquerra de l'Eixample,0.074
4ª,0,104,605000,3,0,Nova Esquerra de l'Eixample,0.054
7ª,0,80,515800,2,0,Nova Esquerra de l'Eixample,0.03
Casa,0,78,440000,2,0,Nova Esquerra de l'Eixample,0.134
Casa,0,80,520000,2,0,Nova Esquerra de l'Eixample,0.044
Casa,0,98,624000,2,0,Nova Esquerra de l'Eixample,0.03
Casa,0,90,624000,2,0,Nova Esquerra de l'Eixample,0.018
Casa,0,94,629000,2,0,Nova Esquerra de l'Eixample,0.02
1ª,0,80,850000,1,0,Dreta de l'Eixample,0.154
2ª,0,138,990000,2,0,Dreta de l'Eixample,0.08
5ª,1,130,650000,3,0,Nova Esquerra de l'Eixample,0.204
5ª,0,221,1175000,6,0,Dreta de l'Eixample,0.344
4ª,1,80,520000,2,0,Nova Esquerra de l'Eixample,0.11
3ª,0,39,190000,1,0,El Raval,0.072
6ª,0,87,750000,2,0,El Gòtic,0.108
4ª,0,85,349000,2,0,El Gòtic,0.256
Casa,0,68,215000,2,0,El Raval,0.444
6ª,0,40,240000,1,0,Sant Pere,0.356
2ª,0,106,1000000,2,0,El Gòtic,0.088
2ª,0,125,610000,3,0,Sant Pere,0.036
2ª,0,72,330000,3,0,El Raval,0.226
2ª,0,72,243000,2,0,El Raval,0.202
Casa,0,130,470000,3,0,El Raval,0.188
Casa,0,90,485000,2,0,El Gòtic,0.244
Casa,0,82,460000,2,0,Sant Pere,0.49
1ª,0,83,285000,2,0,El Raval,0.724
4ª,0,79,260000,3,0,El Raval,0.458
1ª,0,117,435000,3,0,Sant Pere,0.392
2ª,0,85,295000,2,0,El Raval,0.468
Bajo,0,100,206000,4,0,El Raval,0.478
4ª,0,62,345000,2,0,Sant Pere,0.398
Casa,0,106,1000000,2,0,El Gòtic,0.098
1ª,0,110,395000,3,0,El Gòtic,0.424
2ª,0,100,600000,3,0,El Raval,0.156
1ª,0,52,188000,1,0,El Raval,0.468
1ª,0,50,163000,3,0,El Raval,0.348
3ª,0,100,279000,2,1,El Raval,0.698
Entreplanta,0,81,395000,3,0,El Gòtic,0.388
4ª,0,79,260000,3,0,El Raval,0.458
3ª,0,60,138000,3,1,El Raval,0.856
3ª,0,44,155000,2,0,El Raval,0.398
1ª,0,50,139000,1,0,El Raval,0.414
3ª,0,71,369000,2,0,El Gòtic,0.262
2ª,0,60,273000,2,0,Sant Pere,0.262
Casa,0,68,295000,3,0,La Barceloneta,0.388
1ª,0,119,564000,3,0,Sant Pere,0.402
1ª,0,87,445000,2,0,Sant Pere,0.27
2ª,0,120,410000,3,0,El Gòtic,0.288
Casa,0,136,525000,4,0,El Gòtic,0.48
5ª,0,129,1600000,2,0,Sant Pere,0.08
2ª,0,116,1290000,3,0,Sant Pere,0.032
3ª,0,138,930000,4,0,Sant Pere,0.016
Casa,0,128,525000,3,0,Sant Pere,0.372
1ª,0,170,748000,4,0,El Gòtic,0.192
3ª,0,80,549000,2,0,El Raval,0.088
2ª,0,124,610000,3,0,Sant Pere,0.036
Casa,0,175,950000,5,0,El Gòtic,0.26
Casa,0,135,430000,4,1,El Gòtic,0.752
3ª,0,40,185000,2,0,El Raval,0.156
2ª,0,124,650000,3,0,Sant Pere,0.04
4ª,0,52,150000,2,0,El Raval,0.668
2ª,0,53,199000,2,0,El Raval,0.372
3ª,0,77,485000,2,0,El Gòtic,0.144
2ª,0,62,195000,3,0,El Raval,0.344
Casa,0,107,450000,2,0,Sant Pere,0.288
1ª,0,35,172000,1,0,Sant Pere,0.464
1ª,0,37,210000,2,0,La Barceloneta,0.278
1ª,0,93,378000,3,0,Sant Pere,0.064
1ª,0,93,378000,3,0,Sant Pere,0.064
3ª,0,71,400000,2,0,El Gòtic,0.26
1ª,0,140,595000,4,0,El Raval,0.142
2ª,0,93,378000,3,0,Sant Pere,0.13
6ª,0,135,640000,4,0,Sant Pere,0.11
Bajo,0,53,205000,1,0,Sants,0.408
4ª,0,50,310000,1,1,Sants,0.746
2ª,0,85,239000,1,0,Sants,0.374
7ª,0,25,89000,1,0,El Poble Sec,0.348
1ª,0,66,239000,3,0,El Poble Sec,0.636
1ª,0,76,445000,2,0,El Poble Sec,0.008
4ª,1,111,550000,4,0,Sants,0.314
1ª,0,80,445000,2,0,El Poble Sec,0.036
Bajo,0,77,280000,3,0,El Poble Sec,0.318
5ª,0,76,445000,2,0,El Poble Sec,0.138
2ª,0,80,239000,1,0,Sants,0.364
Casa,0,92,565000,3,1,El Poble Sec,0.684
3ª,0,52,180000,3,0,El Poble Sec,0.65
2ª,0,51,150000,3,0,Sants,0.24
3ª,0,75,210000,3,0,Sants,0.018
1ª,1,99,369000,3,0,Sants,0.65
1ª,1,99,369000,3,0,Sants,0.65
3ª,0,55,180000,2,0,Sants,0.332
3ª,0,52,245000,2,0,El Poble Sec,0.27
1ª,0,62,245000,2,0,Sants,0.27
3ª,0,80,335000,3,0,El Poble Sec,0.554
3ª,0,65,239000,2,0,El Poble Sec,0.422
2ª,0,88,225000,3,0,Sants,0.418
4ª,0,75,425000,3,0,Sants,0.342
Bajo,0,109,465000,1,0,Sants,0.156
4ª,0,54,285000,2,0,El Poble Sec,0.114
1ª,0,66,257000,3,1,El Poble Sec,0.886
3ª,0,75,210000,3,0,Sants,0.018
3ª,0,61,349000,2,1,El Poble Sec,0.848
4ª,0,57,150000,3,0,Sants,0.372
Entreplanta,0,62,220000,3,0,El Poblenou,0.368
5ª,0,102,520000,2,0,El Poblenou,0.43
3ª,0,85,510000,2,0,El Clot,0.18
2ª,0,51,262000,1,0,El Clot,0.424
1ª,0,81,391000,2,0,El Clot,0.24
1ª,0,76,413000,2,0,El Clot,0.274
2ª,0,76,427000,2,0,El Clot,0.18
3ª,0,104,597000,3,0,El Clot,0.14
2ª,0,91,483000,3,0,El Clot,0.176
2ª,0,82,398000,2,0,El Clot,0.336
Bajo,0,51,244000,1,0,El Clot,0.348
1ª,0,91,464000,3,0,El Clot,0.144
Bajo,0,83,398000,2,0,El Clot,0.29
1ª,0,51,259000,1,0,El Clot,0.33
3ª,0,84,545000,2,0,El Clot,0.186
Bajo,0,95,494000,3,0,El Clot,0.282
Casa,1,170,590000,3,0,Camp de l'Arpa,0.204
2ª,1,138,490000,4,0,El Clot,0.354
Atico,0,72,415000,2,0,El Poblenou,0.334
1ª,0,51,285000,2,0,El Poblenou,0.862
2ª,1,130,570000,3,0,El Poblenou,0.138
Atico,0,100,192000,3,0,El Clot,0.602
Atico,0,75,265000,3,0,El Clot,0.246
3ª,0,78,350000,3,0,El Poblenou,0.538
Casa,0,55,293600,2,0,El Poblenou,0.34
Bajo,1,109,545000,3,0,Camp de l'Arpa,0.304
Atico,1,89,755000,2,0,Diagonal Mar,0.34
3ª,1,112,585000,2,0,Diagonal Mar,0.172
3ª,0,72,268000,3,0,El Clot,0.29
4ª,0,91,338000,4,0,Camp de l'Arpa,0.424
Atico,1,125,1480000,3,1,Diagonal Mar,0.9
Casa,1,235,695000,4,1,El Poblenou,0.548
5ª,1,130,770000,3,0,El Poblenou,0.138
2ª,0,83,230000,3,0,El Clot,0.32
Bajo,0,87,349000,2,0,Camp de l'Arpa,0.204
Bajo,0,83,349000,2,0,Camp de l'Arpa,0.202
1ª,0,91,253000,3,0,El Poblenou,0.656
4ª,0,81,315000,3,0,El Poblenou,0.536
6ª,0,180,800000,3,0,El Poblenou,0.156
1ª,1,67,480000,2,0,Diagonal Mar,0.166
Entreplanta,0,115,375000,3,0,Camp de l'Arpa,0.262
Entreplanta,1,80,315000,3,0,Camp de l'Arpa,0.362
2ª,1,95,380000,3,0,Camp de l'Arpa,0.218
Entreplanta,1,115,375000,3,0,Camp de l'Arpa,0.226
Entreplanta,1,96,375000,3,0,Camp de l'Arpa,0.252
1ª,1,95,370000,3,0,Camp de l'Arpa,0.284
2ª,1,95,380000,3,0,Camp de l'Arpa,0.218
5ª,1,125,895000,3,0,Diagonal Mar,0.296
Atico,1,140,2300000,3,0,Diagonal Mar,0.188
3ª,1,165,595000,5,0,Camp de l'Arpa,0.318
Atico,0,245,2800000,4,0,Diagonal Mar,0.13
3ª,0,87,467000,3,0,El Poblenou,0.274
5ª,0,103,437000,3,0,El Clot,0.236
2ª,0,104,406000,3,0,El Clot,0.292
Bajo,0,140,538000,3,0,El Clot,0.43
Bajo,0,187,533000,3,0,El Clot,0.418
4ª,0,104,417000,3,0,El Clot,0.23
2ª,0,104,406000,3,0,El Clot,0.292
5ª,0,104,437000,3,0,El Clot,0.242
Atico,1,105,1380000,3,0,Diagonal Mar,0.522
2ª,1,225,1240000,3,0,Sant Gervasi,0.048
1ª,0,90,330000,2,0,El Putxet,0.06
1ª,0,207,825000,5,0,Sant Gervasi,1
4ª,1,244,1490000,5,0,Sant Gervasi,0.092
Bajo,0,100,567500,3,0,El Putxet,0.536
5ª,0,100,460000,3,0,El Putxet,0.428
1ª,0,87,359000,3,0,Sant Gervasi,0.49
1ª,0,140,870000,3,0,Sant Gervasi,0.568
4ª,0,121,970000,3,0,Sant Gervasi,0.258
1ª,0,80,610000,2,0,Sant Gervasi,0.938
4ª,0,130,1150000,3,0,Sant Gervasi,0.296
3ª,0,240,1190000,4,0,Sant Gervasi,0.238
6ª,1,202,1325000,4,0,Sant Gervasi,0.132
4ª,1,158,830000,2,0,Sant Gervasi,0.538
2ª,0,150,980000,3,0,Sant Gervasi,0.458
3ª,0,80,539000,2,0,El Putxet,0.27
Casa,0,60,525000,1,0,El Putxet,0.016
4ª,1,200,1500000,5,0,Sant Gervasi,0.122
2ª,1,299,1485000,5,0,Sant Gervasi,0.13
1ª,0,90,330000,2,0,El Putxet,0.06
5ª,0,110,650000,2,0,Sant Gervasi,0.536
3ª,0,188,948000,5,0,Sant Gervasi,0.948
1ª,0,352,2000000,9,0,Sant Gervasi,0.416
4ª,1,79,608000,2,0,Sant Gervasi,0.47
2ª,1,79,577000,2,0,Sant Gervasi,0.558
5ª,1,79,624000,2,0,Sant Gervasi,0.556
Bajo,1,151,1119000,3,0,Sant Gervasi,0.274
1ª,1,79,639000,2,0,Sant Gervasi,0.442
Casa,1,79,660000,2,0,Sant Gervasi,0.196
1ª,1,200,1390000,5,0,Sarrià,0.556
Casa,1,234,1200000,4,0,El Putxet,0.08
Bajo,0,173,675000,3,0,El Putxet,0.662
5ª,1,270,1450000,5,0,Sant Gervasi,0.144
7ª,1,320,2250000,6,0,Sant Gervasi,0.446
1ª,0,95,400000,3,0,El Putxet,0.384
7ª,0,96,983970,2,0,Sarrià,0.182
1ª,0,171,700000,6,0,El Putxet,0.466
1ª,1,404,2400000,6,0,Sant Gervasi,0.2
1ª,1,200,930000,5,0,Sant Gervasi,0.302
Casa,1,269,1890000,4,0,El Putxet,0.054
1ª,0,97,398000,5,0,Sarrià,0.514
Casa,0,95,394500,3,0,El Putxet,0.394
Casa,1,338,2300000,4,0,Sant Gervasi,0.062
1ª,1,210,1190000,5,1,Sant Gervasi,0.928
2ª,1,197,850000,3,0,El Putxet,0.288
5ª,0,320,1500000,5,0,Sant Gervasi,0.234
1ª,0,275,1600000,2,0,Sant Gervasi,0.06
Atico,1,320,1700000,5,0,Sant Gervasi,0.3
Casa,1,286,1250000,4,0,Sarrià,0.28
1ª,1,170,1120000,4,0,Sant Gervasi,0.178
Casa,0,400,1900000,9,0,Sant Gervasi,0.416
1ª,1,405,2400000,6,0,Sant Gervasi,0.2
1ª,0,400,1900000,5,0,Sant Gervasi,0.218
Casa,1,400,2850000,6,0,Sant Gervasi,0.086
5ª,1,280,1690000,5,0,Sant Gervasi,0.232
3ª,0,135,619000,3,0,Sant Gervasi,0.488
7ª,0,320,2250000,5,0,Sant Gervasi,0.372
1ª,0,223,1075000,5,0,Sant Gervasi,0.498
Casa,1,260,1595000,5,0,Sant Gervasi,0.088
1ª,0,264,1050000,8,0,Sant Gervasi,0.268
Casa,0,188,1580000,6,0,Dreta de l'Eixample,0.2
2ª,0,193,1580000,3,0,Dreta de l'Eixample,0.372
3ª,0,178,1555000,3,0,Dreta de l'Eixample,0.208
1ª,0,178,1555000,3,0,Dreta de l'Eixample,0.386
Casa,0,224,1550000,4,0,Dreta de l'Eixample,0.098
1ª,0,190,1550000,3,0,Antiga Esquerra de l'Eixample,0.274
2ª,0,222,1550000,4,0,Dreta de l'Eixample,0.486
Casa,0,210,1542000,4,0,Dreta de l'Eixample,0.138
1ª,0,115,1540000,4,0,Antiga Esquerra de l'Eixample,0.24
Entreplanta,0,172,1500000,5,0,Antiga Esquerra de l'Eixample,0.26
6ª,1,214,1500000,3,0,Antiga Esquerra de l'Eixample,0.28
Entreplanta,0,175,1500000,5,0,Dreta de l'Eixample,0.332
Casa,0,253,1500000,4,0,Dreta de l'Eixample,0.082
1ª,1,251,1500000,6,0,Dreta de l'Eixample,0.404
4ª,1,190,1500000,3,0,Dreta de l'Eixample,0.424
5ª,0,275,1500000,5,0,Dreta de l'Eixample,0.178
Casa,0,180,1500000,4,0,Dreta de l'Eixample,0.246
5ª,0,264,1500000,5,0,Dreta de l'Eixample,0.186
4ª,0,275,1500000,7,0,Dreta de l'Eixample,0.29
3ª,0,145,1500000,4,0,Dreta de l'Eixample,0.114
5ª,0,194,1500000,5,0,Dreta de l'Eixample,0.464
3ª,0,220,1500000,5,0,Dreta de l'Eixample,0.322
4ª,0,220,1500000,5,0,Dreta de l'Eixample,0.264
6ª,1,214,1500000,3,0,Dreta de l'Eixample,0.482
6ª,0,200,1500000,4,1,Dreta de l'Eixample,0.878
6ª,0,200,1500000,4,1,Dreta de l'Eixample,0.878
6ª,0,146,1499000,3,0,Antiga Esquerra de l'Eixample,0.214
7ª,0,153,1499000,3,0,Dreta de l'Eixample,0.208
1ª,0,70,267000,3,0,Nova Esquerra de l'Eixample,0.264
Entreplanta,0,70,267000,3,0,Nova Esquerra de l'Eixample,0.352
