date,floor,garage,link,m2,off,price,rooms,title
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/83033512/,30,0,140000,1,"Piso en calle de Aragón, Barcelona, La Dreta de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/40274999/,40,0,145000,1,"Piso en SANT ANTONI MARIA CLARET, La Sagrada Família, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/82428757/,120,0,152000,4,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/83642056/,45,0,155000,2,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/83639075/,43,163000,159000,,"Estudio en calle de Cartagena, La Sagrada Família, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/83338585/,43,163000,159000,,"Estudio en calle de Cartagena, La Sagrada Família, Barcelona"
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/82369779/,40,0,159000,,"Estudio en calle del Rosselló, Barcelona, La Sagrada Família, Barcelona"
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/83574148/,45,0,159000,,"Estudio en VILAMARÌ / VALENCIA, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/83314358/,45,0,159000,1,"Piso en VILAMARI - ROMA, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/81632037/,27,0,159900,1,"Piso en viladomat, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/82912987/,46,0,160000,2,"Piso en calle Comte d'Urgell, Barcelona, L'Antiga Esquerra de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/82253135/,35,169000,164000,1,"Piso en calle Comte d'Urgell, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/82954189/,40,0,165000,,"Estudio en calle de Sardenya, Barcelona, El Fort Pienc, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83245684/,34,0,167000,1,"Piso en calle de Viladomat, Sant Antoni, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/83639076/,50,173000,169000,,"Estudio en calle de Cartagena, La Sagrada Família, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/83338584/,48,173000,169000,,"Estudio en calle de Cartagena, La Sagrada Família, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/83559065/,49,0,174000,1,"Piso en calle de València, 407, La Sagrada Família, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83692101/,40,0,189000,1,"Piso en ronda de Sant Pau, Barcelona, Sant Antoni, Barcelona"
27-12-2018,2ª,1,https://www.idealista.com/inmueble/83691829/,90,0,430000,4,"Piso en calle de Ausias March, Barcelona, 68, El Fort Pienc, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/83691740/,65,0,270000,3,"Piso en calle dels Enamorats, Barcelona, La Sagrada Família, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83691531/,97,0,455000,4,"Piso en La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83691358/,122,0,530000,4,"Piso en calle de Bailènj, Barcelona, La Dreta de l'Eixample, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83691280/,93,0,440000,2,"Piso en calle Villarroel, L'Antiga Esquerra de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83691057/,124,0,565000,3,"Piso en La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/83690927/,116,0,550000,4,"Piso en La Sagrada Família, Barcelona"
27-12-2018,1ª,1,https://www.idealista.com/inmueble/83690839/,90,0,347000,2,"Piso en calle de los Castillejos, Barcelona, La Sagrada Família, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/83690745/,100,0,535000,3,"Piso en DIAGONAL, El Fort Pienc, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/83690554/,100,0,535000,3,"Piso en DIAGONAL, El Fort Pienc, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83690496/,104,0,480000,4,"Piso en calle Córcega, Barcelona, La Dreta de l'Eixample, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/82740047/,101,459000,410000,4,"Piso en calle de Calàbria, Barcelona, Sant Antoni, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83690242/,84,0,450000,3,"Piso en avenida de Roma, Barcelona, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/83690171/,112,0,580000,3,"Dúplex en calle Provenza, Barcelona, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83689966/,101,0,410000,4,"Piso en Calabria, Sant Antoni, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83689395/,68,0,260000,,"Estudio en calle de Cartagena, Barcelona, La Sagrada Família, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83689353/,40,0,199000,2,"Piso en Passatge de Font, La Sagrada Família, Barcelona"
